Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;QUERO-QUERO VERDECARD IP (conglomerado); ;147;14;22;95;706218;459101;315588;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RANDON (conglomerado); ;2;0;0;2;10073;5770;6488;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;REALIZE SCFI (conglomerado);13,23;1225;34;88;474;6637188;47;6637154;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RECARGAPAY IP (conglomerado);17,55;1053;84;233;379;13274725;13274181;117966;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RENDIMENTO (conglomerado); ;27;3;5;17;331145;330873;2965;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RODOBENS (conglomerado); ;23;0;0;9;27893;1372;26648;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RPW S/A SCFI (conglomerado); ;87;8;15;47;7;7;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SAFRA (conglomerado);132,05;2538;238;566;1067;4285588;1261168;3291760;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SANTANDER (conglomerado);27,29;24300;144;1929;1556;70689072;66120172;25933985;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SANTINVEST (conglomerado); ;12;0;0;4;11733;96;11637;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SEM PARAR IP (conglomerado); ;146;15;23;95;1976659;1976659;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SENFFNET IP (conglomerado);144,89;241;78;115;164;796028;542048;343313;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SHPP BRASIL IP (conglomerado);10,09;420;45;87;218;8591219;8591216;3;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SIMPALA CFI (conglomerado); ;29;1;3;11;51;51;0;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOCINAL S.A. CFI (conglomerado); ;112;6;8;89;3598;542;3074;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOFISA (conglomerado);153,41;372;126;226;208;1473747;1461390;127262;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;48755901;SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;19;0;0;7;149;0;149;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STARK SCD (conglomerado); ;59;2;3;34;1885;1871;308;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STELLANTIS (conglomerado); ;85;7;12;48;273301;655;272678;
